external_id	pilot_batch	objective_code	concept_code	question_family_code	difficulty	cognitive_level	question_type	question_mode	question_style	question_text	choice_a	choice_b	choice_c	choice_d	correct_letter	short_explanation	feedback_display_version	explanation	choice_a_explanation	choice_b_explanation	choice_c_explanation	choice_d_explanation	common_mistake	remediation_text	memory_aid	visual_priority	visual_type	visual_display_mode	visual_asset_key	visual_brief	visual_caption	visual_alt_text	source_reference_text	source_pages	source_status	review_status	reinforcement_question_ids	estimated_time_seconds
LTL2-C5-PD-Q001	Chapter 5 D	LTL2-C5-O07	LTL2-C5-K031	LTL2-C5-F031	medium	recognition	multiple_choice	study_and_test	cap_direct	Which logical fallacy attacks the person instead of the argument?	Appeal to tradition	Red herring	Ad hominem	Post hoc	C	Ad hominem attacks the person instead of the argument.	1	The Ad hominem fallacy attacks the person instead of the argument.	Appeal to tradition assumes the old way is better because it is old; it is not the error described in the stem.	Red herring introduces a true or interesting distraction; it is not the error described in the stem.	The Ad hominem fallacy attacks the person instead of the argument.	Post hoc assumes an earlier event caused a later event; it is not the error described in the stem.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Ad hominem: attacks the person instead of the argument.	high	comparison_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pd_q001	Create a simple instructional visual for this idea: Ad hominem attacks the person instead of the argument.	Ad hominem: attacks the person instead of the argument.	Instructional visual representing: Ad hominem attacks the person instead of the argument.	Learn to Lead, Volume 2, Chapter 5, Objective 7	46-49	approved_source	draft		45
LTL2-C5-PD-Q002	Chapter 5 D	LTL2-C5-O07	LTL2-C5-K032	LTL2-C5-F032	medium	recognition	multiple_choice	study_and_test	cap_direct	Which logical fallacy claims something is true because an authority says so?	Appeal to authority	Appeal to tradition	Red herring	Weak analogy	A	Appeal to authority claims something is true because an authority says so.	1	The Appeal to authority fallacy claims something is true because an authority says so.	The Appeal to authority fallacy claims something is true because an authority says so.	Appeal to tradition assumes the old way is better because it is old; it is not the error described in the stem.	Red herring introduces a true or interesting distraction; it is not the error described in the stem.	Weak analogy treats two partly similar things as if they were equivalent; it is not the error described in the stem.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Appeal to authority: claims something is true because an authority says so.	high	comparison_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pd_q002	Create a simple instructional visual for this idea: Appeal to authority claims something is true because an authority says so.	Appeal to authority: claims something is true because an authority says so.	Instructional visual representing: Appeal to authority claims something is true because an authority says so.	Learn to Lead, Volume 2, Chapter 5, Objective 7	46-49	approved_source	draft		45
LTL2-C5-PD-Q003	Chapter 5 D	LTL2-C5-O07	LTL2-C5-K033	LTL2-C5-F033	medium	recognition	multiple_choice	study_and_test	cap_direct	Which logical fallacy assumes an earlier event caused a later event?	Weak analogy	Straw man	Post hoc	Red herring	C	Post hoc assumes an earlier event caused a later event.	1	The Post hoc fallacy assumes an earlier event caused a later event.	Weak analogy treats two partly similar things as if they were equivalent; it is not the error described in the stem.	Straw man misrepresents an opposing argument to make it easier to attack; it is not the error described in the stem.	The Post hoc fallacy assumes an earlier event caused a later event.	Red herring introduces a true or interesting distraction; it is not the error described in the stem.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Post hoc: assumes an earlier event caused a later event.	high	comparison_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pd_q003	Create a simple instructional visual for this idea: Post hoc assumes an earlier event caused a later event.	Post hoc: assumes an earlier event caused a later event.	Instructional visual representing: Post hoc assumes an earlier event caused a later event.	Learn to Lead, Volume 2, Chapter 5, Objective 7	46-49	approved_source	draft		45
LTL2-C5-PD-Q004	Chapter 5 D	LTL2-C5-O07	LTL2-C5-K034	LTL2-C5-F034	medium	recognition	multiple_choice	study_and_test	cap_direct	Which logical fallacy assumes the old way is better because it is old?	Appeal to tradition	Weak analogy	Straw man	Circular reasoning	A	Appeal to tradition assumes the old way is better because it is old.	1	The Appeal to tradition fallacy assumes the old way is better because it is old.	The Appeal to tradition fallacy assumes the old way is better because it is old.	Weak analogy treats two partly similar things as if they were equivalent; it is not the error described in the stem.	Straw man misrepresents an opposing argument to make it easier to attack; it is not the error described in the stem.	Circular reasoning restates the conclusion as its own support; it is not the error described in the stem.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Appeal to tradition: assumes the old way is better because it is old.	high	comparison_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pd_q004	Create a simple instructional visual for this idea: Appeal to tradition assumes the old way is better because it is old.	Appeal to tradition: assumes the old way is better because it is old.	Instructional visual representing: Appeal to tradition assumes the old way is better because it is old.	Learn to Lead, Volume 2, Chapter 5, Objective 7	46-49	approved_source	draft		45
LTL2-C5-PD-Q005	Chapter 5 D	LTL2-C5-O07	LTL2-C5-K035	LTL2-C5-F035	medium	recognition	multiple_choice	study_and_test	cap_direct	Which logical fallacy introduces a true or interesting distraction?	Circular reasoning	False dilemma	Red herring	Straw man	C	Red herring introduces a true or interesting distraction.	1	The Red herring fallacy introduces a true or interesting distraction.	Circular reasoning restates the conclusion as its own support; it is not the error described in the stem.	False dilemma pretends only two choices exist; it is not the error described in the stem.	The Red herring fallacy introduces a true or interesting distraction.	Straw man misrepresents an opposing argument to make it easier to attack; it is not the error described in the stem.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Red herring: introduces a true or interesting distraction.	high	comparison_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pd_q005	Create a simple instructional visual for this idea: Red herring introduces a true or interesting distraction.	Red herring: introduces a true or interesting distraction.	Instructional visual representing: Red herring introduces a true or interesting distraction.	Learn to Lead, Volume 2, Chapter 5, Objective 7	46-49	approved_source	draft		45
LTL2-C5-PD-Q006	Chapter 5 D	LTL2-C5-O07	LTL2-C5-K036	LTL2-C5-F036	hard	recognition	multiple_choice	study_and_test	cap_direct	Which logical fallacy treats two partly similar things as if they were equivalent?	Weak analogy	Circular reasoning	False dilemma	Slippery slope	A	Weak analogy treats two partly similar things as if they were equivalent.	1	The Weak analogy fallacy treats two partly similar things as if they were equivalent.	The Weak analogy fallacy treats two partly similar things as if they were equivalent.	Circular reasoning restates the conclusion as its own support; it is not the error described in the stem.	False dilemma pretends only two choices exist; it is not the error described in the stem.	Slippery slope assumes one step will automatically trigger an extreme chain of events; it is not the error described in the stem.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Weak analogy: treats two partly similar things as if they were equivalent.	high	comparison_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pd_q006	Create a simple instructional visual for this idea: Weak analogy treats two partly similar things as if they were equivalent.	Weak analogy: treats two partly similar things as if they were equivalent.	Instructional visual representing: Weak analogy treats two partly similar things as if they were equivalent.	Learn to Lead, Volume 2, Chapter 5, Objective 7	46-49	approved_source	draft		45
LTL2-C5-PD-Q007	Chapter 5 D	LTL2-C5-O07	LTL2-C5-K037	LTL2-C5-F037	hard	recognition	multiple_choice	study_and_test	cap_direct	Which logical fallacy misrepresents an opposing argument to make it easier to attack?	Slippery slope	Ad hominem	Straw man	False dilemma	C	Straw man misrepresents an opposing argument to make it easier to attack.	1	The Straw man fallacy misrepresents an opposing argument to make it easier to attack.	Slippery slope assumes one step will automatically trigger an extreme chain of events; it is not the error described in the stem.	Ad hominem attacks the person instead of the argument; it is not the error described in the stem.	The Straw man fallacy misrepresents an opposing argument to make it easier to attack.	False dilemma pretends only two choices exist; it is not the error described in the stem.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Straw man: misrepresents an opposing argument to make it easier to attack.	high	comparison_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pd_q007	Create a simple instructional visual for this idea: Straw man misrepresents an opposing argument to make it easier to attack.	Straw man: misrepresents an opposing argument to make it easier to attack.	Instructional visual representing: Straw man misrepresents an opposing argument to make it easier to attack.	Learn to Lead, Volume 2, Chapter 5, Objective 7	46-49	approved_source	draft		45
LTL2-C5-PD-Q008	Chapter 5 D	LTL2-C5-O07	LTL2-C5-K038	LTL2-C5-F038	hard	recognition	multiple_choice	study_and_test	cap_direct	Which logical fallacy restates the conclusion as its own support?	Circular reasoning	Slippery slope	Ad hominem	Appeal to authority	A	Circular reasoning restates the conclusion as its own support.	1	The Circular reasoning fallacy restates the conclusion as its own support.	The Circular reasoning fallacy restates the conclusion as its own support.	Slippery slope assumes one step will automatically trigger an extreme chain of events; it is not the error described in the stem.	Ad hominem attacks the person instead of the argument; it is not the error described in the stem.	Appeal to authority claims something is true because an authority says so; it is not the error described in the stem.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Circular reasoning: restates the conclusion as its own support.	high	comparison_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pd_q008	Create a simple instructional visual for this idea: Circular reasoning restates the conclusion as its own support.	Circular reasoning: restates the conclusion as its own support.	Instructional visual representing: Circular reasoning restates the conclusion as its own support.	Learn to Lead, Volume 2, Chapter 5, Objective 7	46-49	approved_source	draft		45
LTL2-C5-PD-Q009	Chapter 5 D	LTL2-C5-O07	LTL2-C5-K039	LTL2-C5-F039	hard	recognition	multiple_choice	study_and_test	cap_direct	Which logical fallacy pretends only two choices exist?	Appeal to authority	Post hoc	False dilemma	Ad hominem	C	False dilemma pretends only two choices exist.	1	The False dilemma fallacy pretends only two choices exist.	Appeal to authority claims something is true because an authority says so; it is not the error described in the stem.	Post hoc assumes an earlier event caused a later event; it is not the error described in the stem.	The False dilemma fallacy pretends only two choices exist.	Ad hominem attacks the person instead of the argument; it is not the error described in the stem.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	False dilemma: pretends only two choices exist.	high	comparison_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pd_q009	Create a simple instructional visual for this idea: False dilemma pretends only two choices exist.	False dilemma: pretends only two choices exist.	Instructional visual representing: False dilemma pretends only two choices exist.	Learn to Lead, Volume 2, Chapter 5, Objective 7	46-49	approved_source	draft		45
LTL2-C5-PD-Q010	Chapter 5 D	LTL2-C5-O07	LTL2-C5-K040	LTL2-C5-F040	hard	recognition	multiple_choice	study_and_test	cap_direct	Which logical fallacy assumes one step will automatically trigger an extreme chain of events?	Slippery slope	Appeal to authority	Post hoc	Appeal to tradition	A	Slippery slope assumes one step will automatically trigger an extreme chain of events.	1	The Slippery slope fallacy assumes one step will automatically trigger an extreme chain of events.	The Slippery slope fallacy assumes one step will automatically trigger an extreme chain of events.	Appeal to authority claims something is true because an authority says so; it is not the error described in the stem.	Post hoc assumes an earlier event caused a later event; it is not the error described in the stem.	Appeal to tradition assumes the old way is better because it is old; it is not the error described in the stem.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Slippery slope: assumes one step will automatically trigger an extreme chain of events.	high	comparison_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pd_q010	Create a simple instructional visual for this idea: Slippery slope assumes one step will automatically trigger an extreme chain of events.	Slippery slope: assumes one step will automatically trigger an extreme chain of events.	Instructional visual representing: Slippery slope assumes one step will automatically trigger an extreme chain of events.	Learn to Lead, Volume 2, Chapter 5, Objective 7	46-49	approved_source	draft		45
LTL2-C5-PD-Q011	Chapter 5 D	LTL2-C5-O06	LTL2-C5-K041	LTL2-C5-F041	easy	recall	multiple_choice	study_and_test	cap_direct	A logical fallacy is	a disagreement between two people	an error in reasoning	a claim lacking precise numbers	a creative solution that fails	B	A logical fallacy is an error in reasoning.	1	Fallacies are recurring patterns of bad logic that can corrupt an argument and keep people from the truth.	Disagreement can exist without faulty reasoning.	Fallacies are recurring patterns of bad logic that can corrupt an argument and keep people from the truth.	Imprecision is one intellectual-standard problem, but not the definition of fallacy.	A failed solution is not necessarily a reasoning fallacy.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Fallacy = faulty logic.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pd_q011	Create a simple instructional visual for this idea: A logical fallacy is an error in reasoning.	Fallacy = faulty logic.	Instructional visual representing: A logical fallacy is an error in reasoning.	Learn to Lead, Volume 2, Chapter 5, Objective 6	46	approved_source	draft		45
LTL2-C5-PD-Q012	Chapter 5 D	LTL2-C5-O08	LTL2-C5-K042	LTL2-C5-F042	medium	understanding	multiple_choice	study_and_test	cap_direct	Intellectual honesty means honesty in the	acquisition, analysis, and transmission of ideas	use of rank and authority	choice of teaching methods	recording of majority votes	A	Intellectual honesty applies integrity to how ideas are obtained, examined, and shared.	1	It requires thinkers to recognize bias, examine how conclusions were reached, and resist self-deception.	It requires thinkers to recognize bias, examine how conclusions were reached, and resist self-deception.	Authority can be used honestly, but it is not the definition.	Teaching method is a separate topic.	Voting procedure does not define intellectual honesty.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Think with integrity from input to output.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pd_q012	Create a simple instructional visual for this idea: Intellectual honesty applies integrity to how ideas are obtained, examined, and shared.	Think with integrity from input to output.	Instructional visual representing: Intellectual honesty applies integrity to how ideas are obtained, examined, and shared.	Learn to Lead, Volume 2, Chapter 5, Objective 8	49	approved_source	draft		45
LTL2-C5-PE-Q001	Chapter 5 E	LTL2-C5-O09	LTL2-C5-K043	LTL2-C5-F043	easy	recall	multiple_choice	study_and_test	cap_direct	Creative thinking is best described as	concentration plus imagination that produces novel, appropriate results	unlimited imagination without concern for usefulness	rejecting every traditional practice	choosing the most popular new idea	A	Creative thinking combines concentration, imagination, novelty, and usefulness.	1	The chapter describes it as seeing ideas in a new context or connecting concepts, while still producing appropriate results.	The chapter describes it as seeing ideas in a new context or connecting concepts, while still producing appropriate results.	Creativity must produce meaningful results.	Creative thinkers challenge status quo when needed, not automatically reject everything old.	Popularity does not establish creativity or quality.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Creative = new connection that works.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pe_q001	Create a simple instructional visual for this idea: Creative thinking combines concentration, imagination, novelty, and usefulness.	Creative = new connection that works.	Instructional visual representing: Creative thinking combines concentration, imagination, novelty, and usefulness.	Learn to Lead, Volume 2, Chapter 5, Objective 9	50	approved_source	draft		45
LTL2-C5-PE-Q002	Chapter 5 E	LTL2-C5-O10	LTL2-C5-K044	LTL2-C5-F044	medium	understanding	multiple_choice	study_and_test	cap_direct	Why do creative leaders not always win?	Creative ideas are usually too complicated	Good ideas still require execution and may face resistance	Creativity works only in emergencies	Majorities always choose the safest answer	B	Creative ideas can fail without execution or acceptance.	1	The chapter's business examples show that superior ideas do not guarantee success when execution, adoption, or market conditions work against them.	Creative ideas can be simple or complex.	The chapter's business examples show that superior ideas do not guarantee success when execution, adoption, or market conditions work against them.	Creativity applies well beyond emergencies.	Majorities may resist change, but 'always' is too absolute.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Idea + execution + acceptance.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pe_q002	Create a simple instructional visual for this idea: Creative ideas can fail without execution or acceptance.	Idea + execution + acceptance.	Instructional visual representing: Creative ideas can fail without execution or acceptance.	Learn to Lead, Volume 2, Chapter 5, Objective 10	51	approved_source	draft		45
LTL2-C5-PE-Q003	Chapter 5 E	LTL2-C5-O11	LTL2-C5-K045	LTL2-C5-F045	easy	recall	multiple_choice	study_and_test	cap_direct	The status quo is	the strongest available evidence	the existing state of affairs	a method for ranking ideas	the final stage of brainstorming	B	Status quo means the existing way things are done.	1	Leaders who challenge 'we have always done it that way' are questioning the status quo.	Evidence is evaluated through critical thinking.	Leaders who challenge 'we have always done it that way' are questioning the status quo.	Multi-voting ranks options.	Brainstorming generates ideas; status quo is not a stage.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Status quo = the way it is now.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pe_q003	Create a simple instructional visual for this idea: Status quo means the existing way things are done.	Status quo = the way it is now.	Instructional visual representing: Status quo means the existing way things are done.	Learn to Lead, Volume 2, Chapter 5, Objective 11	51	approved_source	draft		45
LTL2-C5-PE-Q004	Chapter 5 E	LTL2-C5-O11	LTL2-C5-K046	LTL2-C5-F046	medium	application	multiple_choice	study_and_test	scenario	A cadet has a useful but unpopular proposal and stays silent because everyone else favors the old method. Which pressure is most evident?	Focused thinking	Majority pressure discouraging creativity	Intellectual precision	Experiential learning	B	Majority pressure can suppress unpopular creative ideas.	1	The chapter warns that respect for the majority can discourage independence of mind and free discussion.	Focus concerns concentration, not conformity.	The chapter warns that respect for the majority can discourage independence of mind and free discussion.	Precision concerns exactness.	Experiential learning is learning through direct experience.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Majority rule should not become majority silence.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pe_q004	Create a simple instructional visual for this idea: Majority pressure can suppress unpopular creative ideas.	Majority rule should not become majority silence.	Instructional visual representing: Majority pressure can suppress unpopular creative ideas.	Learn to Lead, Volume 2, Chapter 5, Objective 11	52	approved_source	draft		45
LTL2-C5-PE-Q005	Chapter 5 E	LTL2-C5-O11	LTL2-C5-K047	LTL2-C5-F047	hard	analysis	multiple_choice	study_and_test	close_distractors	Which statement best reflects the chapter's view of military tradition and creativity?	Tradition makes creativity impossible	Military structure has no effect on creativity	Leaders should preserve strengths while working deliberately to encourage new thinking	Creative officers should ignore regulations	C	Military-style organizations may need extra effort to encourage creativity.	1	The chapter values useful traditions but warns that conformity can cause creative ideas to be mistaken for disloyalty.	The chapter does not say creativity is impossible.	It notes a possible bias toward conformity.	The chapter values useful traditions but warns that conformity can cause creative ideas to be mistaken for disloyalty.	Creativity must still operate ethically and within legitimate requirements.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Preserve what works; question what limits growth.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pe_q005	Create a simple instructional visual for this idea: Military-style organizations may need extra effort to encourage creativity.	Preserve what works; question what limits growth.	Instructional visual representing: Military-style organizations may need extra effort to encourage creativity.	Learn to Lead, Volume 2, Chapter 5, Objective 11	53	approved_source	draft		45
LTL2-C5-PE-Q006	Chapter 5 E	LTL2-C5-O12	LTL2-C5-K048	LTL2-C5-F048	medium	application	multiple_choice	study_and_test	scenario	Apollo 13 engineers used only materials already aboard the spacecraft to build an improvised device. This illustrates	appeal to tradition	creative thinking under constraints	gradual voting	passive learning	B	Apollo 13 shows creative problem-solving with limited resources.	1	The engineers connected available materials in a new, useful way when no written plan could solve the crisis.	They could not rely on an old routine.	The engineers connected available materials in a new, useful way when no written plan could solve the crisis.	No voting method is described.	The engineers actively solved a real problem.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Use what you have in a new way.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pe_q006	Create a simple instructional visual for this idea: Apollo 13 shows creative problem-solving with limited resources.	Use what you have in a new way.	Instructional visual representing: Apollo 13 shows creative problem-solving with limited resources.	Learn to Lead, Volume 2, Chapter 5, Objective 12	54	approved_source	draft		45
LTL2-C5-PE-Q007	Chapter 5 E	LTL2-C5-O12	LTL2-C5-K049	LTL2-C5-F049	medium	understanding	multiple_choice	study_and_test	cap_direct	The D-Day example demonstrates that	detailed plans remove the need for initiative	creative leadership may be required when plans collapse	only senior officers should improvise	chaos makes mission accomplishment impossible	B	Creative initiative can save a mission when plans meet reality.	1	Separated troops formed new teams and improvised instead of waiting for the original plan to become possible.	Planning remained important, but did not eliminate uncertainty.	Separated troops formed new teams and improvised instead of waiting for the original plan to become possible.	NCOs and junior officers were central to the improvisation.	The example shows that action can emerge from chaos.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	When the plan breaks, purpose guides improvisation.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pe_q007	Create a simple instructional visual for this idea: Creative initiative can save a mission when plans meet reality.	When the plan breaks, purpose guides improvisation.	Instructional visual representing: Creative initiative can save a mission when plans meet reality.	Learn to Lead, Volume 2, Chapter 5, Objective 12	54	approved_source	draft		45
LTL2-C5-PE-Q008	Chapter 5 E	LTL2-C5-O12	LTL2-C5-K050	LTL2-C5-F050	hard	misconception	multiple_choice	study_and_test	cap_direct	According to the chapter, creativity may be	complex only	simple only	either complex or simple	valuable only when artistic	C	Creative solutions may be simple or complex.	1	Rube Goldberg machines illustrate complexity, while Shaker design illustrates creative simplicity.	The chapter explicitly gives a simple form of creativity.	It also gives deliberately complex examples.	Rube Goldberg machines illustrate complexity, while Shaker design illustrates creative simplicity.	The section focuses on leadership creativity, not only art.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Creative does not mean complicated.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pe_q008	Create a simple instructional visual for this idea: Creative solutions may be simple or complex.	Creative does not mean complicated.	Instructional visual representing: Creative solutions may be simple or complex.	Learn to Lead, Volume 2, Chapter 5, Objective 12	55	approved_source	draft		45
LTL2-C5-PF-Q001	Chapter 5 F	LTL2-C5-O13	LTL2-C5-K051	LTL2-C5-F051	medium	recognition	multiple_choice	study_and_test	cap_direct	Which creative-thinking tool is designed to generate many ideas without judging them during generation?	Headlines of the Future	Brainstorming	Five Whys	Reversal	B	Brainstorming is used to generate many ideas without judging them during generation.	1	The purpose of Brainstorming is to generate many ideas without judging them during generation.	Headlines of the Future is used to describe future success and work backward through milestones, not to generate many ideas without judging them during generation.	The purpose of Brainstorming is to generate many ideas without judging them during generation.	Five Whys is used to drill down repeatedly to identify root causes, not to generate many ideas without judging them during generation.	Reversal is used to imagine how to cause or worsen the problem, then reverse the ideas, not to generate many ideas without judging them during generation.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Brainstorming: generate many ideas without judging them during generation.	high	process_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pf_q001	Create a simple instructional visual for this idea: Brainstorming is used to generate many ideas without judging them during generation.	Brainstorming: generate many ideas without judging them during generation.	Instructional visual representing: Brainstorming is used to generate many ideas without judging them during generation.	Learn to Lead, Volume 2, Chapter 5, Objective 13	56-62	approved_source	draft		45
LTL2-C5-PF-Q002	Chapter 5 F	LTL2-C5-O13	LTL2-C5-K052	LTL2-C5-F052	medium	recognition	multiple_choice	study_and_test	cap_direct	Which creative-thinking tool is designed to visually arrange ideas and their connections?	Mindmapping	Reversal	Headlines of the Future	Flowchart	A	Mindmapping is used to visually arrange ideas and their connections.	1	The purpose of Mindmapping is to visually arrange ideas and their connections.	The purpose of Mindmapping is to visually arrange ideas and their connections.	Reversal is used to imagine how to cause or worsen the problem, then reverse the ideas, not to visually arrange ideas and their connections.	Headlines of the Future is used to describe future success and work backward through milestones, not to visually arrange ideas and their connections.	Flowchart is used to make the steps of a process visible so it can be improved, not to visually arrange ideas and their connections.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Mindmapping: visually arrange ideas and their connections.	high	process_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pf_q002	Create a simple instructional visual for this idea: Mindmapping is used to visually arrange ideas and their connections.	Mindmapping: visually arrange ideas and their connections.	Instructional visual representing: Mindmapping is used to visually arrange ideas and their connections.	Learn to Lead, Volume 2, Chapter 5, Objective 13	56-62	approved_source	draft		45
LTL2-C5-PF-Q003	Chapter 5 F	LTL2-C5-O13	LTL2-C5-K053	LTL2-C5-F053	hard	recognition	multiple_choice	study_and_test	cap_direct	Which creative-thinking tool is designed to drill down repeatedly to identify root causes?	Headlines of the Future	Flowchart	Multi-voting	Five Whys	D	Five Whys is used to drill down repeatedly to identify root causes.	1	The purpose of Five Whys is to drill down repeatedly to identify root causes.	Headlines of the Future is used to describe future success and work backward through milestones, not to drill down repeatedly to identify root causes.	Flowchart is used to make the steps of a process visible so it can be improved, not to drill down repeatedly to identify root causes.	Multi-voting is used to identify broad consensus when many options exist, not to drill down repeatedly to identify root causes.	The purpose of Five Whys is to drill down repeatedly to identify root causes.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Five Whys: drill down repeatedly to identify root causes.	high	process_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pf_q003	Create a simple instructional visual for this idea: Five Whys is used to drill down repeatedly to identify root causes.	Five Whys: drill down repeatedly to identify root causes.	Instructional visual representing: Five Whys is used to drill down repeatedly to identify root causes.	Learn to Lead, Volume 2, Chapter 5, Objective 13	56-62	approved_source	draft		45
LTL2-C5-PF-Q004	Chapter 5 F	LTL2-C5-O13	LTL2-C5-K054	LTL2-C5-F054	hard	recognition	multiple_choice	study_and_test	cap_direct	Which creative-thinking tool is designed to imagine how to cause or worsen the problem, then reverse the ideas?	Multi-voting	Cost-benefit analysis	Reversal	Flowchart	C	Reversal is used to imagine how to cause or worsen the problem, then reverse the ideas.	1	The purpose of Reversal is to imagine how to cause or worsen the problem, then reverse the ideas.	Multi-voting is used to identify broad consensus when many options exist, not to imagine how to cause or worsen the problem, then reverse the ideas.	Cost-benefit analysis is used to compare costs with expected benefits, not to imagine how to cause or worsen the problem, then reverse the ideas.	The purpose of Reversal is to imagine how to cause or worsen the problem, then reverse the ideas.	Flowchart is used to make the steps of a process visible so it can be improved, not to imagine how to cause or worsen the problem, then reverse the ideas.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Reversal: imagine how to cause or worsen the problem, then reverse the ideas.	high	process_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pf_q004	Create a simple instructional visual for this idea: Reversal is used to imagine how to cause or worsen the problem, then reverse the ideas.	Reversal: imagine how to cause or worsen the problem, then reverse the ideas.	Instructional visual representing: Reversal is used to imagine how to cause or worsen the problem, then reverse the ideas.	Learn to Lead, Volume 2, Chapter 5, Objective 13	56-62	approved_source	draft		45
